ability ,0.004464286,0.047831636,6.38E-04,0.023596939,0.013392858,0.015943877,0.04017858
able ,1.73E-05,1.82E-04,4.09E-04,1.76E-04,2.19E-04,2.44E-04,1.86E-04
abuse ,5.32E-04,1.77E-04,1.77E-04,0.13736264,0.001240695,0.001595179,0.002658632
academy ,0.007142858,0.021428574,0.007142858,0.007142858,0.007142858,0.092857145,0.035714287
accept ,0.008270677,0.006766918,7.52E-04,0.048872184,0.018796993,0.024812032,0.038345866
acceptance ,0.002747253,0.008241759,0.002747253,0.013736265,0.024725277,0.09065934,0.013736265
accounting ,0.017857144,0.017857144,0.017857144,0.017857144,0.053571433,0.08928572,0.017857144
accuracy ,0.035714287,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287,0.035714287
achieve ,0.001382489,0.004147466,4.61E-04,0.005069125,0.006912442,0.12211982,0.005069125
acid ,0.017857144,0.017857144,0.017857144,0.017857144,0.125,0.017857144,0.017857144
active ,0.002380953,0.035714287,0.002380953,0.026190478,0.05,0.026190478,0.011904763
activities ,3.15E-06,3.46E-05,0.0012618,4.72E-05,5.98E-05,2.20E-05,1.57E-05
adding ,0.003246754,0.0487013,0.003246754,0.022727275,0.016233768,0.02922078,0.035714287
addresses ,0.035714287,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287,0.035714287
administrator ,0.035714287,0.035714287,0.035714287,0.035714287,0.035714287,0.035714287,0.107142866
adobe ,0.035714287,0.035714287,0.035714287,0.035714287,0.107142866,0.035714287,0.035714287
adult ,0.001879699,0.05075188,0.001879699,0.028195491,0.020676693,0.013157894,0.035714287
adults ,0.014285715,0.042857148,0.004761905,0.033333335,0.014285715,0.023809526,0.033333335
advanced ,1.73E-05,3.45E-06,0.001383713,3.45E-06,1.73E-05,1.04E-05,1.04E-05
advantage ,0.023809526,0.02813853,0.002164502,0.015151517,0.032467537,0.015151517,0.036796536
adventure ,0.001519757,0.022796353,0.001519757,0.013677813,0.06838906,0.016717326,0.025835866
advertisement ,0.035714287,0.035714287,0.035714287,0.035714287,0.035714287,0.035714287,0.107142866
affairs ,0.071428575,0.012605043,0.004201681,0.004201681,0.012605043,0.03781513,0.021008406
age ,3.33E-05,1.71E-04,8.90E-04,9.54E-05,7.76E-05,5.99E-05,1.13E-04
agree ,0.007440476,0.043154765,0.001488095,0.03125,0.016369049,0.02529762,0.02529762
agreed ,0.017857144,0.017857144,0.002551021,0.048469387,0.012755103,0.022959184,0.033163264
ahead ,0.002329193,0.01940994,7.76E-04,0.0318323,0.01940994,0.014751554,0.058229815
aids ,0.023809526,0.023809526,0.023809526,0.023809526,0.11904762,0.023809526,0.023809526
aim ,0.017857144,0.08928572,0.017857144,0.017857144,0.017857144,0.053571433,0.017857144
alabama ,0.035714287,0.035714287,0.035714287,0.035714287,0.035714287,0.107142866,0.035714287
alaska ,0.014285715,0.071428575,0.014285715,0.014285715,0.042857148,0.014285715,0.042857148
